source,title,link,authors
Habr,Пишем TIP-4 NFT коллекцию с картами для Гвинта на Everscale за 30 минут,https://habr.com/ru/articles/765608/,      broxus      
Habr,Пользователи VK смогут подтверждать своё образование с помощью NFT-дипломов,https://habr.com/ru/news/748490/,      avouner      
Habr,Исследование: 95% существующих NFT сейчас практически ничего не стоят,https://habr.com/ru/news/762672/,      daniilshat      
Habr,"«ВКонтакте» представила NFT-аватары, витрину токенов и маркетплейс",https://habr.com/ru/news/705102/,      maybe_elf      
Habr,Открываем регистрацию на Хакатон VK NFT x Definition,https://habr.com/ru/companies/vk/news/713718/,      Barrayar      
Habr,В Петербурге выставят на аукцион NFT-версию законопроекта об NFT,https://habr.com/ru/news/668378/,      maybe_elf      
Habr,Разработчики Minecraft запретили в игре блокчейн и NFT,https://habr.com/ru/news/678232/,      AnnieBronson      
Habr,LG внедрила технологию NFT в свои смарт-телевизоры,https://habr.com/ru/news/686394/,      maybe_elf      
Habr,Про NFT и деньги,https://habr.com/ru/companies/ruvds/articles/654537/,      man_of_letters      
Habr,"«ВКонтакте» открыла приём заявок на хакатон для NFT-разработчиков с призовым фондом 1,5 млн рублей",https://habr.com/ru/news/713704/,      LizzieSimpson      
Habr,Spotify начал тестировать плейлисты для владельцев NFT,https://habr.com/ru/news/719032/,      AnnieBronson      
Habr,Отдаю NFT за 880 миллионов долларов,https://habr.com/ru/companies/ruvds/articles/653085/,      man_of_letters      
Habr,Из Warcraft в реальную жизнь или что такое Soulbound NFT,https://habr.com/ru/articles/684008/,      IvanRomanovich      
Habr,"NFT, NFT, NFT — медиавирус",https://habr.com/ru/companies/ruvds/articles/653665/,      man_of_letters      
Habr,"Почему NFT умер, а крипта — нет",https://habr.com/ru/articles/682510/,      ushim      
Habr,Объяснение NFT простыми словами на примере NFT платформ и печенек Oreo,https://habr.com/ru/articles/719428/,      BloodyPoSTaL      
Habr,Ответы на часто задаваемые вопросы о NFT,https://habr.com/ru/companies/timeweb/articles/545620/,      tw_community      
Habr,«ВКонтакте» представляет NFT-коллекцию,https://habr.com/ru/news/729784/,      IgnatChuker      
Habr,"Что такое NFT на самом деле, сколько обмана может скрывать, и в каких сферах реально применим",https://habr.com/ru/articles/564676/,      cryptolawyer      
Habr,Non-fungible token (NFT): основы,https://habr.com/ru/articles/579908/,      dedstriger      
Habr,Невзаимозаменяемые токены (NFT) — явление года. Что это такое и каков их юридический статус в России?,https://habr.com/ru/companies/digitalrightscenter/articles/646009/,      Art_Andrei13      
Habr,Так это «пирамида» или нет? Что делать с NFT в 2022 году,https://habr.com/ru/articles/647959/,      S_Guzenko      
Habr,В защиту NFT,https://habr.com/ru/companies/jugru/articles/651067/,      phillennium      
Habr,Спортивные бобры и NFT из первого граффити ВКонтакте — какие проекты создали участники первого Web3-хакатона VK NFT,https://habr.com/ru/companies/vk/articles/726534/,      vkdevrel      
Habr,Gumroad раскритиковали за амбиции в отношении NFT,https://habr.com/ru/news/650777/,      maybe_elf      
Habr,Important Role of Cryptocurrency in NFT Game Development,https://habr.com/ru/articles/712126/,      brsoftech      
Habr,Юридические аспекты NFT: как создателям NFT защитить свои исключительные права на цифровые активы,https://habr.com/ru/articles/653657/,      alinafaizova25      
Habr,В 12 я помог роботу POMPO получить награду на Behance. А он поможет мне сделать NFT и построить робота в реале,https://habr.com/ru/articles/664414/,      Lucker_Kophe      
Habr,NFT-мошенники или как не попасть на ИКСуи,https://habr.com/ru/articles/672376/,      Aalexaa      
Habr,Цифровая трансформация на основе NFT,https://habr.com/ru/companies/slurm/articles/693048/,      Lika_Chernigo      
Habr,"Авторское право на NFT, или немного о проблемах цифровых активов в Российской Федерации",https://habr.com/ru/companies/digitalrightscenter/articles/737052/,      Art_Andrei13      
